u_num,u_den,v_num,v_den,inx,d,c,b,a
1873,200,132865575,498865492,42,26969608212297,26901926181047,8528631804200,487814048600
1861,240,-361,540,33,1059621884297,1041572957760,535914713672,187577183625
1861,240,-361,540,11,145087793,122055375,121952168,1841160
1861,240,7800,-5509,11,145087793,122055375,121952168,1841160
1861,240,7800,-5509,33,1059621884297,1041572957760,535914713672,187577183625
1861,240,34960712,4843695,11,145087793,122055375,121952168,1841160
1861,240,34960712,4843695,999,601546336586676758217069747353,507376500694215143603840904000,504285647197281669856795386728,6571990083263349384871692135
1861,240,89229075,185612164,999,601546336586676758217069747353,507376500694215143603840904000,504285647197281669856795386728,6571990083263349384871692135
1861,240,89229075,185612164,11,145087793,122055375,121952168,1841160
7493,280,210240,509509,29,219813483369,213248725865,127775447744,17410908560
7493,280,210240,509509,110,553159406891791612332258969,529615238960769406475597465,347031293687953323957873344,145447476353209425394611920
7493,280,327232,-422485,29,219813483369,213248725865,127775447744,17410908560
7493,280,327232,-422485,103,101929436101862460159831249,94766472054667562758040785,71941209765337292161720624,26659234863039080957744320
7493,280,3591293097,645001640,110,553159406891791612332258969,529615238960769406475597465,347031293687953323957873344,145447476353209425394611920
7493,280,3591293097,645001640,29,219813483369,213248725865,127775447744,17410908560
7493,280,-2837463545,1344270488,103,101929436101862460159831249,94766472054667562758040785,71941209765337292161720624,26659234863039080957744320
7493,280,-2837463545,1344270488,29,219813483369,213248725865,127775447744,17410908560
-1041,320,1000,47,17,1679142729,1670617271,632671960,50237800
-1041,320,1000,47,1,422481,414560,217519,95800
-1041,320,-2830405,222976,95,3122849928997768901912409,3003225858017812695181145,1891988836723177605880960,985329200220584284726784
-1041,320,-2830405,222976,47,58844817090201,56329979520665,34511786481280,26636493544576
-1041,320,52463,660460,1,422481,414560,217519,95800
-1041,320,52463,660460,111,918310142223097801006397529,889106559932545369165762471,535607712470322407570378200,250530677254015598463660440
-1041,320,27080901,7277440,999,11369893864459106634683717721,10164612737450173818243455065,8014156552929810289275523840,6612539238725960155561172096
-1041,320,27080901,7277440,47,58844817090201,56329979520665,34511786481280,26636493544576
-1041,320,29957400,6538471,111,918310142223097801006397529,889106559932545369165762471,535607712470322407570378200,250530677254015598463660440
-1041,320,29957400,6538471,1,422481,414560,217519,95800
-1041,320,2561104512,-2803746965,47,58844817090201,56329979520665,34511786481280,26636493544576
-1041,320,2561104512,-2803746965,95,3122849928997768901912409,3003225858017812695181145,1891988836723177605880960,985329200220584284726784
-1041,320,5704266520,874414487,17,1679142729,1670617271,632671960,50237800
-1041,320,5704266520,874414487,999,46958909619868524192166513173544692801,46273050903583154478359251385281220960,22960428216227205745392473048546187199,1144979909459335481963935472775984440
14337,340,1376,-705,25,39871595729,36295982895,29676864960,11262039896
14337,340,1376,-705,48,230791363907489,220093974949320,148739531603136,32467583677535
14337,340,-81065,89412,48,230791363907489,220093974949320,148739531603136,32467583677535
14337,340,-81065,89412,25,39871595729,36295982895,29676864960,11262039896
14337,340,1082751103,2425949520,999,6616439760613621862731446443907191282921,6207619036790011270489588176427573183720,4554090261843869296891804023846057187704,1088293006324287104160004124001002482455
14337,340,1082751103,2425949520,25,39871595729,36295982895,29676864960,11262039896
-709,364,3103968,863671,59,231979091654001537,195245555846283391,178334974425415360,144112537339077160
-709,364,3103968,863671,53,60542395253512497,49684712325560200,49624451107919296,33615149527526095
-709,364,4450035,56589316,53,60542395253512497,49684712325560200,49624451107919296,33615149527526095
-709,364,4450035,56589316,59,231979091654001537,195245555846283391,178334974425415360,144112537339077160
400,-37,-2433,920,4,12197457,11289040,8282543,5870000
400,-37,-2433,920,18,1787882337,1662997663,1237796960,686398000
400,-37,1867333,457280,4,12197457,11289040,8282543,5870000
400,-37,1867333,457280,93,1779979592349189232414713,1724845107301282006322000,1018986340666195845813760,574585584668340612894713
